Participant ID,Assumption ID,Summary
19 ,A11,"E1,E2,E3 are trustworthy services with no intentions in harming eDocs"
19 ,A12,All inner data flows are because of easy integration encrypted: DF11-DF23=> No man-in-the-middle
19 ,A13,"We consider delivery info from email provider as not sensitive, thus no ID is considered"
19 ,A7a,"E2,E3 delivery status is reliable and can tell if a document was sent. "
19 ,A7b,E1 should also provide info about receiving docs
19 ,A8,"Data stores DS1, DS2,DS3 are strongly protected"
19 ,A9,Physical access to datastores is able either for the employees themselves or within their company
20 ,A6,"The print service, zoomit, and the email provider have to confirm accepting the documents. This ensures non-repudiation"
20 ,A7,The PDS keeps tracks of the delivery status of each document and sends updates to the delivery manager. PDS users can 't deny receiving a document
21 ,A6,the pds user is authenticated by means of credentials
21 ,A7,An email address is always unique to a user. No double account creation is possible
21 ,A8,The print service and zoomit service use a form of authentication and authorization so the edocs always knows it s working with a trusted party
21 ,A9,The employees of the zoomit and postal mail services systems are trustworthy
22 ,A10,URLs were used to perform a direct download are unique and temporary (no guessing)
22 ,A11,"Spoofing a process is not possible for inter process communication (DF13,15-18) (could be possible but if an attacker has this kind of access/power there are bigger concerns"
22 ,A12,Rubber hose attack (physical assault on admins) are unlikely
22 ,A13,The company informs its users about the dangers of phishing emails
22 ,A14,"All external software is secure (DB mgmt, web libs, ..)"
22 ,A15,"No physical access to the data stores possible, except for employees (with the right permission)"
22 ,A17,"The processes are run at the same physical location, thus their connections are secure (not possible for a very large company (google/facebook))"
22 ,A6,"The DS3 data store is encrypted, without the key the content is unreadable (brute-force would take too long)"
22 ,A7,The key mentioned in A6 is stored separate and secure
22 ,A8,"All input (users,customers,..) is naturalized: no SQLi, XSS, "
22 ,A9,"Assignment in docIds is random, not sequential: this rules out spoofing by guessing the DocID"
23 ,A10,"The PDS user data (DS3) is checked on correct names, emails and contains no other characters that could be abused"
23 ,A6,The data flow between P2 and P3 is considered safe and authenticated
23 ,A7,The sending of documents between P1 and P2 is securt
23 ,A8,The PDS user data (DS3) contains no duplicate emails
23 ,A9,The generated docs archive (DS1) contains no duplicate documents
24 ,A10,The authentication between P2 and E3 is secure and is by means of credentials
24 ,A11,The document stores are secure (protected by pwd)
24 ,A12,The login credentials of a PDS user are his username and password
24 ,A13,A customer doesn't need to verify the creation of his account
24 ,A14,"When a password is being reset, the reset link is sent to the email address of the PDS user"
24 ,A15,The delivery manager needs no form of authentication
24 ,A8,The internal communication channels are encrypted and thus have channel confidentiality and integrity
24 ,A9,The communication channel between E3 and P4 are encrypted and are thus considered to have channel confidentiality and integrity (DF4-5)
25 ,A10,"Spoofing a process, tampering with a process, repudiation by a process or ID from a process cannot happen because of A1 and A3"
25 ,A11,"Data flow tampering of DF1-DF3 and DF6-DF10 is not possible because of the channel confidentiality and integrity (However, when entities are spoofed, the messages can be tampered with by the entity)"
25 ,A13,Flows between the delivery manager and the messages can be tampered with by entity
25 ,A14,"Because of A1 and A3, tampering a data store or information disclosure from a data store is not possible"
25 ,A15,Spoofing the delivery scheduler will not happen because there is no incoming link from external entitites and because of A1
25 ,A6,Delivery entities receive a (temporary) unique token from eDocs that needs to be used when communicating
25 ,A7,PDS users are authenticated by means of credentials
25 ,A8,URLs of documents contain unique key to obtain the document
25 ,A9,"When users have a URL to a document, they can access it without having to log in or provide any other authentication data"
26 ,A10,"Because of A4, tampering with the Generated Docs Archive (DS1) is not possible"
26 ,A11,"Repudiation of P1, P2, P3 is not likely to happen because there is not advantage"
26 ,A12,"Information Disclosure of P1,P2, P3 is not likely to happen .e.g by side channels which times how long we (?) takes to complete"
26 ,A13,"Tampering with P1,P2,P3 is not likely to happen because of A3"
26 ,A14,Spoofing the PDS process (for obtaining PDS user credentials) is not likely to happen because of A2
26 ,A16,Data flows DF11-DF23 will not be tampered/no information disclosure because they are all internal and because of A1
26 ,A6,Invoices have confidentialty and integrity because they are signed with a key
26 ,A7,PDS user is authenticated by credentials
26 ,A8,"Because of A2, tampering and information disclosure is not posible via DF1-DF3 in DF6-DF10"
26 ,A9,"Tampering with DS2 and DS3 is not possible because the PDS user entity can not change data in the stores, and by A1, tampering by internal system will not happen"
27 ,A10,"Data flows with external entities (DF1-DF10) contain a timestamp (in case of DF1-3, DF6-DF10 this is encoded as well, see A2) to protect against replay attacks"
27 ,A6,"The data flows between internal components (DF11-D23) occur within the organisation's internal trust network e.g. secure UTP cable which cannot be tapped, e.g. not using signals with  can be tapped from the outside such as 802.11. We therefore assume adversaries are not able to eavesdrop (protect against ID) or modify (protect against T) data within these flows"
27 ,A7,"Data stores are located within the organisations walls on secure spots. hence, only employees are able to physically access them. Because of A1, this protects the data stores (DS1-DS3) against tampering, repudiation or information disclosure"
27 ,A8,"Processes (P1-P3) are secure with respect to ID, R and T. The systems are secure (A3) and the employees are trustworthy (A1)"
27 ,A9,"Since the delivery scheduler (P1) is not connected to external entities, and because of A1, spoofing of this process (P1) is not considered"
28 ,A6,"Certificates are used by eDocs partners to identify themselves (zoomit, print, e-mail)"
28 ,A7,We assume that our external document delivery providers are trustworthy
28 ,A8,PDS user is identified by means of credentials
28 ,A9,Registereing a PDS account requires no human verification
29 ,A10,Data stores are accessed only by the internal components 
29 ,A11,Data stores are password protected
29 ,A12,User credentials like password are hashed and with salt
29 ,A13,Login credentials are sent hashed
29 ,A14,"For providing raw data ,the customer organisation is logged in"
29 ,A15,Data sent in the trust boundary is reliable and secure
29 ,A16,"The processes P1-P3 log about the events happening, like: user login, dcument delivery, data stored in a database"
29 ,A6,The edocs users are authenticated by credentials
29 ,A6,Edocs users are authenticated by credentials
29 ,A7,"The links in the e-mail sent (in case receipt tracking activated) are unique/ because of this they can not be generated by an attacker, so in normal case no document cant be download by forcefull browsing"
29 ,A8,P1 can only be accessed internally
29 ,A9,The email syntax is checked 
30 ,A10,"Spoofing the delivery manager (P2) doesnt seem very likely either, since nothing important enters the delivery manager from the outside, only delivery statuses and docIds"
30 ,A11,Repudiation for the delivery manager/scheduler and PDS doesn't seem useful
30 ,A12,"Tampering with DS1, DS2 seems unlikely, would probably be noticed very fast and probably easy to fix the consquences"
30 ,A7,"Since the channels DF1-DF3. DF6-10 are encrypted, I assume they wont be tampered with and ID is not applicable"
30 ,A8,"Since the systems is [..hard to read..] any memory-level manipulation, I assume P1, P2, P3 wont be tampered with"
30 ,A9,"Spoofing the delivery scheduler (P1) doesnt seem very useful or very unlikely, since delivery manager has no contact outside eDocs system"
31 ,A10,Recipients must respond to an e-mail confirmation request when making an account
31 ,A6,Data flows with external entities (1-10) only occur if the entities can authenticate (PDS user: credentials; E1-3: SSL certificate; rest: token DF7)
31 ,A6,The edocs system is protected against viruses and other malicious programs by up-to-date anit-virus software and other related tools/softwares
31 ,A7,"Data flows between E3 and P2 (DF4,5) are also encrypted"
31 ,A8,3rd party services have nothing to gain from repudiation (E1-E3)
31 ,A9,Certification information is well guarded
32 ,A10,The user data is stored in plain text in DS3
32 ,A7,Delivery channels do not acknowledge receipt of delivery for a batch
32 ,A8,eDocs deals with reputable third parties and/or has legal agreements with them
32 ,A9,eDocs maintains proper logs of data stores
33 ,A10,The E-mail provider doesnt send any data to the delivery manager. Only acknowledgements that something was delivered or failed
33 ,A10,"e-mailprovider doesn't send any data to the delivery manager, only delivery status"
33 ,A6,E1 (print service) and E2 (zoomit) are secure entities that cannot be spoofed
33 ,A7,email provider cannot be spoofed
33 ,A8,print service and zoomit will not repudiate
33 ,A9,repudiation of requesting or obtaining doc is meaningless
34 ,A10,A user has no benefit in claiming he has not registered while it is the case
34 ,A11,Documents from the PDS require login credentials to be viewed
34 ,A12,Also receiving email happens through an encrypted channel
34 ,A6,The DNS servers used by eDocs to reach the email provider are secure. The communication for sending E-Mail is encrypted
34 ,A7,Communication between processes in the system is secure. It is impossible these communications leave the system
34 ,A8,The delivery manager cannot be influenced by the receipt of malformed emails
34 ,A8,The delivery manager cannot be influenced by the receipt of malformed emails
34 ,A9,"The information provided by a user to the PDS should not overwrite incorrect data, e.g. registering twice with the same mail address overwrites password"
35 ,A10,The system performs no mail verification
35 ,A11,The ID of a document does not contain sensitive data (or this is encrypted)
35 ,A6,DF4 is not encypted
35 ,A7,Requesting a document link does not require authentication
35 ,A8,PDS user authenticates via credentials
35 ,A9,Registration of a PDS user is unauthenticated
36 ,A10,Spoofing an internal process (P1-P3) requires physically replacing the node on which this process is runing. Tis is not realistic for an attacker.
36 ,A6,"With each of the external service providers (E1-E3), an SLA has been negotiated. They will behave according to this SLA. The SLAs are similar, so threats corresponding to them can be combined."
36 ,A7,"DF4 and DF5 have the same endpoints, so the same communication channel will be used. Therefore the same threats are posed to these DFs"
36 ,A8,"Entities E1-E3 are authenticated in a secure way, so they can not be spoofed"
36 ,A9,P1-P3 is considered a trustworthy in boundary process. Repudiateion is not threat
37 ,A6,PDS user is authenticated by means of credentials
37 ,A7,Bank account numbers and other sensitive data are part of the invoices payslips
37 ,A8,Session IDs are used
38 ,A10,The protocol between edocs and delivery channels require authentication of the delivery channel (e.g DF3 and DF5)
38 ,A6,The protocol between edocs and delivery channels requires authentication of edocs
38 ,A7,The protocol between edocs and delivery channels has confirmation the channel has successfully received the request
38 ,A8,The encrypted data flows described in A2 are achieved wuth certificates and certificate authorities
38 ,A9,The data flows within the trust boundary do not leave the trust boundary and so lack(?) in the data stores are not stored remote
39 ,A10,Inputs form (e.g login) are sufficiently secure to protect against attack such as SQL injection
39 ,A11,logs are kept of all actions in the system (e.g. remove doc)
39 ,A12,Internal databases can only be accessed with correct authentication
39 ,A13,SSL stripping is still a threat
39 ,A14,The databases are not invulnerable to attacks but they are secure enough to ensure that it will take a lot of effort from the attackers to gain access
39 ,A15,Only trusted employees have physical access to the DBs
39 ,A6,The PDS user is authenticated by means of credentials
39 ,A7,Zoomit of print services send confirmation of the documents they receive
39 ,A8,The data flows between P2 (delivery manager) and E3 (Email provider) are encrypted and are considered to have channel integrity and confidentialuty
39 ,A9,Employees of edocs are authenticated by means of credentials
40 ,A10,"A4 -in a way- suggests that tampering with DS1 is not applicable. Otherwise, it seems like that assumption is useless"
40 ,A6,"Despite A1, it is possible that an attacker obtains login information of an edocs employee in some way"
40 ,A7,"Due to A2, tampering and ID become non applicable threats"
40 ,A8,The delivery scheduler can't be tampered with because it s not linked to an entity outside of the trust boundary
40 ,A9,It's possible that a customer organisation admin stores/uses credentials in an unsafe way
41 ,A10,Generated invoices documents include the details of the bank account to which the money should be paid to
41 ,A11,The delivery manager keeps a list of trusted delivery services (E1-E3) and only sends documents to these trusted entities
41 ,A12,The login credentials returned by DF23 are not encrypted
41 ,A13,The PDS docs storage contains only correctly generated documents
41 ,A14,"The data stores keep no logs, so no log-threats are considered"
41 ,A14,The delivery scheduler communicates only internally and is thus considered secure
41 ,A6,"A PDS user (E4) can try to login to the PDS (DF6) an unlimited number of times, with no delay even a large amount of attempt"
41 ,A7,There is no requirement set on the strength of the password when a PDS user (E4) registers (DF8)
41 ,A8,"The deovery entities (E1,E2,E3) and the PDS user (E4) will never deny that they received a certain document when they actually did"
41 ,A9,The data flows DF4+DF5 are not encrypted and thus do not have channel confidentiality
43 ,A10,"Data stores don't have any security (pwd, session)"
43 ,A10,"Data stores don't have any security (pwd, session)"
43 ,A11,Following data flows are not encrypted: DF3-DF4
43 ,A6,"The delivery manager sends documents + link based on info found in metadata (Address,Delivery method,..)"
43 ,A7,Passwords are stored encrypted
43 ,A8,"When a PDS user registers, extra checks will be performed before creating the account. No extra checks when adding to PDS user data"
43 ,A8,"When a PDS user registers, extra checks will be performed before creating the account. No extra checks when adding to PDS user data"
43 ,A9,Documents in PDS docs can't be edited
45 ,A10,The PDS user has no reason to deny that he or she consulted their PDS
45 ,A11,the edocs manager is authenticated by means of credentials
45 ,A6,Edocs should incorporate CAPTCHA for registration of the PDS or a timeout
45 ,A7a,eDocs must state at registration that their users of the PDS choose a safe pwd (e.g. not easily guessable)
45 ,A7b,PDS user is authenticated by means of credentials
45 ,A9,The URL provided by email takes the user to his PDS (DF7). Extra authentication is required
46 ,A6,"The user accesses the PDS by authentication, ie having credentials"
46 ,A7,The log of the user is stored in the data store
47 ,A6,The PDS user is authenticated by means of credentials
47 ,A7,"The likelihood of E1,E2 or E3 denying that they have received the documents is low"
47 ,A9,The likelihood of the encryption keys for the flows DF1-DF3 being stolen from the external services is low
48 ,A10,The data stores are considered free from tampering or disclosure because they are used only by processes from within the trust boundary
48 ,A11,The information in DF5 isnt of much value so the likeliness of disclosion (sic) is low
48 ,A12,The delivery scheduler (P2) is free from threats; it's only used by the components within the trust boundary 
48 ,A13,The PDS process(P3) checks whether the user request if valid (e.g. can not request files from other users) against tampering and disclosure
48 ,A14,The likelihood of tampering with DF5 is low because it has low impact (nothing can be gained by the attack)
48 ,A6,"T and ID threats are not applicalbe for DF1-3,6-10 because these data flows are encrypted"
48 ,A7,Tampering with the document sent via mail (DF4) is difficult because the documents are encrypted with the private key of the sender
48 ,A8,"The external print and zoomit service handle their credentials for authenticating with eDocs with care, so that it's very hard to obtain these"
48 ,"A9
", Data flows from within the trust boundary are considered free from tampering or disclosure
49 ,A6,It is possible to impersonate processes and hijack data flows with a MITM attack
49 ,A7,It is possible to impersonate processes and hijack data flows with a MITM attack
50 ,A10,"Tampering for P1,P2,P3,DS1,DS2,DS3 does not apply because they cannot be directly accessed from the outside and A1 states they shall not be attacked from the inside"
50 ,A11,A PDS user cannot use repudiation because the PDSDB keeps track of which documents have been opened
50 ,A12,Repudiation on any logs in DS1 or DS2 is not interesting to an attacker; we assume them to be idempotent
50 ,A13,ID not possible for P1 and P2 without insider access
50 ,A7,"Because P1,P2, P3 are in the trust boundary, we assyme they can be correctly identified and not spoofed"
50 ,A8,PDS user is authenticated by means of credentials
50 ,A9,The PDS user db contains no logs and is therefore not a repudiation target
51 ,A10,"No physicall access to the system by a non-employee is possible. Thus communication using data flows is entirely inside of the system are secure because employees are to be trusted (A1). As a result, these data flows are considered to have confidentiality and integrity"
51 ,A11,The system will contact a delivery service in case a delivery status hasnt been received for a while
51 ,A12,"Because the delivery manager only communicates with other internal processes, and thus spoofing is not possible (based also on A1 and A3)"
51 ,A13,"All data stores do not have direct data flows with external entities, thus tampering and information disclosure are not possible (also based on A1 and A3)"
51 ,A6,The eDocs system can safely start communication with an external delivery service (ie it cant commit to a spoofed entity)
51 ,A7,A PDS user has nothing to gain from denying having read or downloaded a document from the PDS
51 ,A8,"Delivery status only consists of the actual status (e.g. ""delivered"", ""read""...) and not of additional user address information"
51 ,A9,"It is very unlikely for internal processes (P1,P2,P3) to deny sending or receiving certain information. Therefore repudiation of these processes does not apply"
52 ,A10,The delivery scheduler (P1) is implemented well (protected well on code and memory level). Therefore we dont consider tampering and information disclosure aim to it.
52 ,A11,The delivery manager and PDS (P2 and P3) are implemented securely
52 ,A12,The PDS (DS2) and PDS user data (DS3) contains correctly generated documents and reliable information of user
52 ,A13,The PDS docs and PDS user data are implemented correctly
52 ,A14,"The data flow internal of the eDocs system (DF11-DF23) are all happening within local area network, so we dont consider them to be tampered"
52 ,A15,"Since data flow (DF11-DF20) all contains very similar assets (documents,ids, statuses) and it's apparently easier to observe data flow between PDS and a data store (DF19,DF20). So I assume DF19 and DF20 are easier to be attacked. Therefore DF11-DF18 has low priority for ID threats"
52 ,A17,"Data flow between PDS and User data store (DFS21-DS23) should have higher priority than DF19 and DF20, because user data is much easier to make use. And since the attacker gets user data,it's easier for the attacker to login to PDS and get specific documents of these users."
52 ,A19,"The fata flow internal of the edocs system are not encrypted, so they are easy to suffer information disclosure threat"
52 ,A20,"The PDS users are not always trained about information secrecy knowledge,so they are not aware of the risks of carelessly storing their credentials. Therefore they are easy to be spoofed"
52 ,A20,"The PDS users are always not be trained about information security knowledge, so they are not aware of the risks of carelessly storing their credentials. Therefore they are easy to be spoofed"
52 ,A6,"The external service provider E1,E2,E3 are trustworthy"
52 ,A7,"Since the generated docs archive and the delivery scheduler, the delivery manager also perform delivering based on reliable information"
52 ,A8,The employees of the edocs system are trained about information security knowledge so that not easy to be spoofed
52 ,A9,The external service providers are trained about information security so that they are not easily spoofed
53 ,A10,"All memory devices are cleaned if they need to be replaced  (failed hard drive), DS1-3"
53 ,A6,"The addresses of the following entities (E1,E2,E3) are known and static and cannot be spoofed and authenticate using keys"
53 ,A7,"P3, the PDS does not disclose any information except to authorized and authenticated users (and to P2. delivery manager)"
53 ,A8,DS2 (PDS docs) and DS3 (PDS user data) are configured to only answer to requests originating from PDS
53 ,A9,"DS1 (Generated docs archive) is configured to only respond to requests coming from P1,P2"
54 ,A6,"After negotiations for SLA, E1 and E3 are deemed trustworthy"
54 ,A7,Credentials are not saved in plaintext
54 ,A7,The eDocs system does not require to log in to zoomit in order to send it documents (nothing is said in domain analysis)
54 ,A8,We assume eDocs is a trustworthy company which does not want to harm its clients and business partners
55 ,A10,"Since A2, tampering with DF1-DF3 and DF6-DF10 is impossible"
55 ,A11,Since A1 and A3: tampering and ID of the data stores is impossible
55 ,A12,A print service uses a website to communicate with its clients (eDocs system)
55 ,A13,Since A2 entails channel integrity ID from data flow is not considered for those data flows
55 ,A6,"In this day and age, the amount of recipients that asks to have their invoices and/or payslips delivered by post is small"
55 ,A7,There is no authentication of zoomit or mail provider
55 ,A8,The PDS user has access to all its personal information in case its address ... needs to be changed or updated
55 ,A9,"Since A1, the data stores are not protected"
56 ,A6,The PDS user is authenticated by means of credentials
56 ,A7,eDocs does not store any data about batches of document it has sent to zoomit/print service
57 ,A10,No logs used in the system
57 ,A11,No inputs validation is used in the system (P3)
57 ,A7,Zoomit and mail provider dont have to authenticate before sending delivery status updates
57 ,A8,The zoomit service and email provider dont have to be authenticated to update the delivery status
57 ,A9,The PDS user is authenticated by means of credentials
58 ,A10,The PDS user is authenticated by means of PDS credentials
58 ,A6,The sent documents via Zoomit(E2) or mail provider (E3) are stored in a cache in case of a failure (no docs are lost) (DF1-DF3) 
58 ,A7,"The PDS users have a unique PDS ID to log in into their PDS, different from the credentials to logging into the system (FD6) -- you don't need to have a PDS to be able to log in into the edocs system"
59 ,A10,As business partners the delivery entities are trustworthy and therefore repudiation does not occur
59 ,A6,Tampering with dataflows inside the trust boundary does not happen (no external components)
59 ,A7,ID of dataflows within the trust boundary is not possible: nothing is external
59 ,A8,No ID on DF1-3 and DF6-10 because of encryption (ref A2)
59 ,A9,"Repudiation of processes and data stores can only happen from within and according to A1, this is not possible"
60 ,A10,Edocs uses a trustworthy mail provider
60 ,A11,"If a user opens a document, there is no point in it for them to deny they did"
60 ,A12,No logs are kept on the system
60 ,A13,There is no point for an attacker to tamper with the dataflow for registration
60 ,A14,User are authenticated by credentials
60 ,A6,Passwords are stored encrypted
60 ,A7,Communication between edocs and the print service/zoomit works with key pairs
60 ,A8,The data storage facilities are properly secured
60 ,A9,Mail provider always sends errors when it could not send mail
61 ,A6,DF4 and DF5 are not thoroughly secured (A2 does not cover this)
61 ,A7,"only external threats can occur, the internal system is very secure (extra confirmation for A1 and A3)"
61 ,A8,"PDFs and URL might contain sensitive, valuable and vulnerable information"
61 ,A9,The systems reputation is high enough to attract attackers (and wanting to cause harm)
